0.23	   2.3857000e-01  -2.1200000e-02   1.1766000e-01  -4.4019000e-01  -4.2979000e-01   2.9788000e-01   8.3799000e-01
0.24	   2.3831000e-01  -2.0990000e-02   1.1858000e-01  -4.3965000e-01  -4.2880000e-01   2.9781000e-01   8.3738000e-01
0.25	   2.3804000e-01  -2.0770000e-02   1.1957000e-01  -4.3906000e-01  -4.2773000e-01   2.9773000e-01   8.3672000e-01
0.26	   2.3775000e-01  -2.0530000e-02   1.2064000e-01  -4.3841000e-01  -4.2659000e-01   2.9765000e-01   8.3601000e-01
0.27	   2.3744000e-01  -2.0270000e-02   1.2177000e-01  -4.3772000e-01  -4.2535000e-01   2.9756000e-01   8.3524000e-01
0.28	   2.3711000e-01  -1.9990000e-02   1.2298000e-01  -4.3696000e-01  -4.2403000e-01   2.9748000e-01   8.3441000e-01
0.29	   2.3675000e-01  -1.9690000e-02   1.2427000e-01  -4.3615000e-01  -4.2262000e-01   2.9739000e-01   8.3352000e-01
0.3	   2.3638000e-01  -1.9370000e-02   1.2563000e-01  -4.3527000e-01  -4.2112000e-01   2.9730000e-01   8.3257000e-01
0.31	   2.3598000e-01  -1.9030000e-02   1.2706000e-01  -4.3434000e-01  -4.1953000e-01   2.9720000e-01   8.3155000e-01
0.32	   2.3557000e-01  -1.8670000e-02   1.2857000e-01  -4.3334000e-01  -4.1784000e-01   2.9711000e-01   8.3047000e-01
0.33	   2.3513000e-01  -1.8280000e-02   1.3016000e-01  -4.3227000e-01  -4.1605000e-01   2.9701000e-01   8.2932000e-01
0.34	   2.3467000e-01  -1.7870000e-02   1.3183000e-01  -4.3113000e-01  -4.1416000e-01   2.9691000e-01   8.2810000e-01
0.35	   2.3418000e-01  -1.7440000e-02   1.3357000e-01  -4.2991000e-01  -4.1217000e-01   2.9682000e-01   8.2682000e-01
0.36	   2.3368000e-01  -1.6980000e-02   1.3539000e-01  -4.2863000e-01  -4.1007000e-01   2.9672000e-01   8.2546000e-01
0.37	   2.3316000e-01  -1.6500000e-02   1.3728000e-01  -4.2727000e-01  -4.0787000e-01   2.9663000e-01   8.2403000e-01
